key,value,Hindi,Gujarati Text,Marathi Text,Telugu Text,
viewCart,View Cart,कार्ट देखें,કાર્ટ જુઓ,कार्ट पहा.,కార్ట్ చూడండి,
add,Add,जोड़ें,ઉમેરો,अ‍ॅड करा.,జోడించండి,
browseCatalogButton,Browse Categories,कैटेगोरी ब्राउज़ करें,કેટેગરી બ્રાઉઝ કરો,श्रेणी ब्राउझ करा.,వర్గాలను బ్రౌజ్ చేయండి,
browseCatalogTitle,Choose a category,कैटेगोरी चुनें,કેટેગરી પસંદ કરો,श्रेणी निवडा.,ఒక వర్గాన్ని ఎంచుకోండి,
repeatCustomizationTitle,Do you want to repeat customization?,क्या आप अनुकूलन दोहराना चाहते हैं?,શું તમે કસ્ટમાઇઝેશનનું પુનરાવર્તન કરવા માંગો છો?,तुम्हाला सानुकूलनाची पुनरावृत्ती करायची आहे?,మీరు అనుకూలీకరణను పునరావృతం చేయాలనుకుంటున్నారా?,
repeatCustomizationConfirm,Repeat,दोहराएँ,પુનરાવર્તન કરો,पुनरावृत्ती करा.,పునరావృతం చేయండి,
repeatCustomizationCancel,Customize,अनुकूलित करें,કસ્ટમાઇઝ કરો,सानुकूलित करा.,అనుకూలీకరించండి,
savedItems,Saved Items,Saved Items,સેવ કરેલ વસ્તુઓ,Saved Items,Saved Items,
locationTitle,Help us recommend the best bots\n# Enter your location,सर्वश्रेष्ठ bot सुझाने में हमारी सहायता करें\n# अपना स्थान दर्ज करें,અમને શ્રેષ્ઠ બોટની ભલામણ કરવામાં મદદ કરો\n# તમારું લોકેશન દાખલ કરો,सर्वोत्तम bots\n# शिफारस करण्यात आम्हाला मदत करा. तुमचे स्थान प्रविष्ट करा,ఉత్తమ botsను సిఫార్సు చేయడంలో మాకు సహాయం చేయండి\n# మీ లొకేషన్ ని నమోదు చేయండి,
countryLabel,Country,देश,દેશ,देश,దేశం,
stateLabel,State,राज्य,રાજ્ય,राज्य,రాష్ట్రం,
cityLabel,City,शहर,શહેર,शहर,నగరం,
statePlaceholder,Select State,राज्य चुनें,રાજ્ય પસંદ કરો,राज्य निवडा.,రాష్ట్రాన్ని ఎంచుకోండి,
cityPlaceholder,Select City,शहर चुनें,શહેર પસંદ કરો,शहर निवडा.,నగరాన్ని ఎంచుకోండి,
profileDobLabel,Date of Birth,जन्म की तारीख,જન્મની તારીખ,जन्मतारीख,పుట్టిన తేది,
profileCountryLabel,Country*,देश*,દેશ,देश,దేశం,
profileSectionHeading1,Personal Information,व्यक्तिगत जानकारी,વ્યક્તિગત જાણકારી,वैयक्तिक माहिती,వ్యక్తిగత సమాచారం,
profileSectionHeading2,Contact Details,सम्पर्क करने का विवरण,સંપર્ક વિગતો,संपर्क करण्यासाठीची माहिती,సంప్రదించడానికి వివరాలు,
profileSectionHeading3,Location,स्थान,સ્થાન,स्थान,స్థానం,
age,Age,आयु,ઉંમર,वय वर्ष,వయస్సు,
category,Category,कैटेगोरी,કેટેગરી,श्रेणी,వర్గం,
downloadMediaSettingTitle,Auto Download Media,ऑटो डाउनलोड मीडिया,ઓટો ડાઉનલોડ મીડિયા,ऑटो डाउनलोड मीडिया,ఆటో డౌన్‌లోడ్ మీడియా,
downloadMedaDialogTitle,Select Media,मीडिया का चयन करें,મીડિયા પસંદ કરો,मीडिया निवडा.,మీడియాను ఎంచుకోండి,
photoLabel,Photo,फ़ोटो,ફોટો,फोटो,ఫోటో,
audioLabel,Audio,ऑडियो,ઑડિયો,ऑडिओ,ఆడియో,
videoLabel,Video,वीडियो,વીડિયો,व्हिडीओ,వీడియో,
documentLabel,Document,डॉक्यूमेंट,ડોક્યુમેન્ટ,डॉक्युमेंट,డాక్యుమెంట్,
noResult,No result found,कोई परिणाम नहीं मिला,કોઈ પરિણામ મળ્યુ નથી,कोणताही निष्कर्ष निघालेला नाही,ఫలితం కనుగొనబడలేదు,
noResultFound,We couldn't find what you are searching for,आप जो खोज रहे हैं वह हमें नहीं मिला,તમે જે શોધી રહ્યા છો તે અમે શોધી શક્યા નથી,तुम्ही जे शोधत आहात ते आम्हाला सापडलेले नाही,మీరు వెతుకుతున్న దాన్ని మేము కనుగొనలేకపోయాము,
languageSupportedTitle,Language Supported,उपलब्ध भाषाएँ,ભાષા ઉપલબ્ધ છે,उपलब्ध भाषा,అందుబాటులో ఉన్న భాషలు,
sayHi,Say “Hi”,शुरू करें,"""Hi"" કહો","""नमस्कार"" असा मेसेज पाठवून सुरु करा.",“Hi” చెప్పండి,
followUs,Follow us on,हमें इन साइट्स पर फॉलो करें,અમને આના પર ફોલો કરો,आम्हाला इथे फॉलो करा.,మమ్మల్ని అనుసరించండి,
getSocial,Get social with us!,सोशल मीडिया पर हमसे जुड़ें!,અમારી સાથે સામાજિક તાલમેલ સાધો!,आमच्यासह सोशल मीडियावर जोडले जा,సామాజిక మాధ్యమాల్లో మాతో కనెక్ట్ అవ్వండి!,
latestUpdate,Follow us to keep up with our latest updates,हमारे लेटेस्ट अपडेट के साथ बने रहने के लिए हमें फॉलो करें,અમારા છેલ્લા અપડેટ્સ સાથે આગળ વધવા માટે અમને ફોલો કરો,आमच्या नवीनतम अपडेट्ससह आम्हाला फॉलो करा,మా కొత్త అప్‌డేట్‌లను తెలుసుకోవడానికి మమ్మల్ని ఫాలో చేయండి,
follow,Follow Now,फॉलो कीजिए,હમણાં જ ફોલો કરો,फॉलो करा,ఇప్పుడే ఫాలో చేయండి,
selectLanguage,Select your language,अपनी भाषा चुनिए,તમારી ભાષા પસંદ કરો,आपली भाषा निवडा.,మీ భాషను ఎంచుకోండి,
filterLabel,Filter {{filterCount}},फ़िल्टर {{filterCount}},ફિલ્ટર {{filterCount}},फिल्टर {{filterCount}},ఫిల్టర్ {{filterCount}},
filterUpdated,Filters updated,फ़िल्टर अपडेट किए गए हैं,ફિલ્ટરો અપડેટ કરેલ છે,फिल्टर्स अपडेट केलेले आहेत.,ఫిల్టర్లు అప్‌డేట్ చేయబడ్డాయి,
allMessages,All Messages,सभी मैसेज,બધા મેસેજ,सर्व मेसेज,అన్ని మెసేజ్ లు,
botNames,Bot Names,Bot का नाम,Bot ના નામો,Bot चे नाव,Bot పేర్లు,
unsaved,Unsaved,सेव से हट गया,અનસેવ કરેલ,जतन केलेले काढून टाकण्यात आलेले आहे.,సేవ్ చేయబడలేదు,
undo,Undo,Undo करें,Undo કરો,अन डू करा.,Undo చేయండి,
restore,Restored,पुनः सेव किए गए,પુનઃ સેવ કરવામાં આવ્યા છે,पुनर्संचयित  केलेले आहे,పునరుద్ధరించబడింది,
unsave,Unsave,सेव से हटाएँ,અનસેવ,जतन करू नका.,సేవ్ చేయవద్దు,
noSavedItems,No saved items,कोई सेव किया आइटम नहीं है,કોઈ સેવ કરેલ વસ્તુ નથી,जतन केलेली कोणतीही सामग्री नाही.,ఏవీ సేవ్ చేయబడలేదు,
noSavedItemsMsg,Go to your chat page to save messages and media.You may save items by long pressing.,मैसेज और मीडिया को सेव करने के लिए अपने चैट पेज पर जाएँ। आप इन आइटम को लंबे समय तक दबाकर आइटम सेव कर सकते हैं।,મેસેજ અને મીડિયાને સેવ કરવા માટે તમારા ચેટ પેજ પર જાઓ. તમે લાંબા સમય સુધી દબાવીને વસ્તુઓ સેવ કરી શકો છો.,मेसेज आणि मीडिया जतन करण्यासाठी तुमच्या चॅट पेजवर जा. थोडा जास्त वेळ दाबून ठेऊन तुम्ही सामग्री जतन करू शकता.,మెసేజ్ లు మరియు మీడియాను సేవ్ చేయడానికి మీ చాట్ పేజీకి వెళ్లండి. మీరు దానిపై ఎక్కువసేపు నొక్కి ఉంచడం ద్వారా వాటిని సేవ్ చేయవచ్చు.,
selectMedia,Select Media,मीडिया का चयन करें,મીડિયા પસંદ કરો,मीडिया निवडा.,మీడియాను ఎంచుకోండి,
attachMsg,You can attach jpeg or png upto 1 mb,आप 1 mb तक की jpeg या png फाइल अटैच कर सकते हैं,તમે 1 mb સુધીની jpeg અથવા png જોડી શકો છો,तुम्ही 1 mb पर्यंत साइज असलेल्या jpeg किंवा png संलग्न करू शकता,మీరు 1 mb వరకు jpeg లేదా pngని జోడించవచ్చు,
feedbackEmailPlaceholder,Enter your email ID,अपनी email ID दर्ज करें,તમારું ઈ-મેઈલ ID દાખલ કરો,तुमचा email ID प्रविष्ट करा.,మీ email IDని నమోదు చేయండి,
typeHere,Type here…,यहाँ टाइप करें…,અહીં લખો...,इथे टाइप करा.,ఇక్కడ టైపు చేయండి…,
feedbackLikeYes,Yes,हाँ,હા,होय,అవును,
feedbackLikeNo,No,नहीं,ના,नाही,కాదు,
myCart,My Cart,मेरा कार्ट,મારું કાર્ટ,माझे कार्ट,నా కార్ట్,
userReviews,User reviews,यूज़र्स की समीक्षाएँ,વપરાશકર્તા રિવ્યુઝ,वापरकर्त्याचे पुनरावलोकन,వినియోగదారు సమీక్షలు,
reviews,Reviews,समीक्षाएँ,રિવ્યુઝ,पुनरावलोकन,సమీక్షలు,
mostHelpful,Most helpful,सबसे उपयोगी,સૌથી વધુ ઉપયોગી,सर्वात उपयुक्त,అత్యంత సహాయకారి,
mostRecent,Most recent,सबसे नया,એકદમ નવું,सर्वात नवीन,ఇటీవలి,
ReviewSubmit,Submit,सबमिट करें,સબમિટ કરો,सबमिट करा.,సబ్మిట్ చేయండి,
dobSubmit,Submit,सबमिट करें,સબમિટ કરો,सबमिट करा.,సబ్మిట్ చేయండి,
completeYourProfile,**Complete your profile** so we can recommend the best bots for you,**अपनी प्रोफ़ाइल पूरी करें** ताकि हम आपके लिए सर्वश्रेष्ठ bot सुझा सकें,તમારી પ્રોફાઇલ પૂર્ણ કરો જેથી અમે તમારા માટે શ્રેષ્ઠ bots ની ભલામણ કરી શકીએ,तुमचे प्रोफाइल पूर्ण करा जेणेकरून आम्ही तुमच्यासाठी सर्वोत्तम bots ची शिफारस करू.,"మీ ప్రొఫైల్‌ను పూర్తి చేయండి, తద్వారా మేము మీ కోసం ఉత్తమమైన bot లను సిఫార్సు చేస్తాము",
searchBots,Search for bots,Bots खोजें,Bots માટે શોધો,bots शोधा.,bot ల కోసం శోధించండి,
selectMultiple,Select Multiple,एकाधिक मैसेजेज़ का चयन करें,બહુવિધ પસંદ કરો,एकापेक्षा अधिक निवडा.,ఒకటి కంటే ఎక్కువ ఎంచుకోండి.,
lblRemove,Remove,हटाएँ,દૂર કરો,काढून टाका.,తొలగించండి,
select,Select...,चुनें...,પસંદ કરો...,निवडा...,ఎంచుకోండి...,
nItemsUnsaved,{{number}} Items Unsaved,{{number}} Items Unsaved,{{number}} વસ્તુઓ સેવ કરેલ નથી,{{number}} जतन न केलेली सामग्री,{{number}} అంశాలు సేవ్ చేయబడలేదు,
docConfirm,Send {{fileName}} to {{botName}},{{botName}} को {{fileName}} भेजें,{{fileName}} ને {{botName}} પર મોકલો,{{botName}} ला  {{fileName}} पाठवा,{{fileName}}ని {{botName}}కి పంపండి,
selectAppLanguage,Select App Language,ऐप भाषा चुनिए,એપ્લિકેશન ભાષા પસંદ કરો,अ‍ॅपची भाषा निवडा.,యాప్ భాషను ఎంచుకోండి,
appLanguage,App Language,ऐप भाषा,એપ્લિકેશન ભાષા,अ‍ॅपची भाषा,యాప్ భాష,
conversationSounds,Conversation Sounds,बातचीत साउंड्स,વાર્તાલાપ સાઉન્ડસ,संवादासाठीचा आवाज,సంభాషణ సౌండ్స్,
archivedBots,Archived Bots,आर्काइव्ड Bots,આર્કાઇવ કરેલ Bots,संग्रहित केलेले Bot.,ఆర్కైవ్ చేసిన Bot లు,
blockedBots,Blocked Bots,ब्लॉक्ड Bots,બ્લોક થયેલ bots,ब्लॉक केलेले bots,బ్లాక్ చేయబడిన bot లు,
chat,Chat,चैट,ચેટ,चॅट,చాట్,
discover,Discover,डिस्कवर,શોધો,शोध घ्या,కనుగొనండి,
applyLabel,Apply,अप्लाई करें,અપ્લાઈ કરો,लागू करा.,దరఖాస్తు చేసుకోండి,
selectCountry,Select Country,देश चुनें,દેશ પસંદ કરો,देश निवडा.,దేశాన్ని ఎంచుకోండి,
customizationStep,Step {{currentStep}}/{{totalStep}},स्टेप {{currentStep}}/{{totalStep}},પગલું {{currentStep}}/{{totalStep}},पायरी {{currentStep}}/{{totalStep}},సోపానం {{currentStep}}/{{totalStep}},
optionalStep,Optional,वैकल्पिक,વૈકલ્પિક,ऐच्छिक,ఐచ్ఛికం,
selectMin,Select any {{min}},कोई {{min}} चुनें,કોઈ {{min}} પસંદ કરો,कोणताही {{min}} निवडा,ఏదైనా {{min}}ని ఎంచుకోండి,
selectMinMax,Select Min. {{min}} Max. {{max}},न्यूनतम {{min}} और अधिकतम {{max}} चुनिए,ન્યૂનતમ {{min}} અને અધિકતમ {{max}} પસંદ કરો,कमीतकमी {{min}} जास्तीतजास्त {{max}} निवडा,అత్యల్పం {{min}} అత్యధికం {{max}},
minConstraint,{{min}} selection is mandatory in {{customization}},{{customization}} में से {{min}} चुनना अनिवार्य है,{{customization}} માં {{min}} પસંદ કરવું અનિવાર્ય છે,{{customization}} मध्ये {{min}} निवड अनिवार्य आहे,{{customization}}లో {{min}} ఎంపిక తప్పనిసరి,
total,Total,कुल,કુલ,एकूण,మొత్తం,
next,Next,अगला,આગળ,पुढील,తరువాత,
addToCart,Add to Cart,कार्ट में जोड़ें,કાર્ટમાં ઉમેરો,कार्टमध्ये टाका.,కార్ట్‌కి జోడించండి,
giveFeedback,Give Feedback,फ़ीडबैक दें,પ્રતિસાદ આપો,फीडबॅक द्या.,మీ అభిప్రాయం తెలియజేయండి,
confirmMute,Confirm,कन्फर्म करें,પુષ્ટિ કરો,कन्फर्म करा.,నిర్ధారించండి,
emailError,Please enter a valid Email ID,कृपया मान्य email ID दर्ज करें,કૃપા કરીને માન્ય ઈ-મેઈલ ID દાખલ કરો,कृपया वैध email ID प्रविष्ट करा.,దయచేసి చెల్లుబాటు అయ్యే Email ID ని నమోదు చేయండి,
descriptionError,Description too short,वर्णन बहुत छोटा है,વર્ણન ખૂબ નાનું છે,संक्षिप्त वर्णन आहे,వివరణ చాలా చిన్నది,
botShareMessage,"I just explored the {{name}} chatbot 💬 on SwiftChat. It’s an exciting new experience🤩, do check out: {{url}}","मैंने अभी-अभी {{name}} chatbot 💬 को SwiftChat पर एक्सप्लोर किया है। यह एक रोमांचक नया अनुभव है 🤩, देखें: {{url}}","મેં હમણાં જ SwiftChat પર {{name}} ચેટબોટની 💬 શોધ કરી. આ એક રોમાંચક નવો અનુભવ🤩 છે, જરૂર ચકાસો: {{url}}","मी नुकताच SwiftChat वर {{name}} chatbot 💬 बद्दल अधिक जाणून घेतले आहे. हा एक रोमांचक नवीन अनुभव आहे🤩, तपासा: {{url}}","నేను ఇప్పుడే SwiftChatలో {{name}} chatbot 💬ని అన్వేషించాను. ఇది ఒక ఉత్తేజకరమైన కొత్త అనుభవం🤩, చెక్ అవుట్ చేయండి: {{url}}",
blockedBotMessage,Blocked Bot,ब्लॉक्ड Bot,બ્લોક કરેલ બોટ્સ,ब्लॉक केलेले Bot,బ్లాక్ చేయబడిన Bot,
notificationPermissionMessage,*Don’t miss out!* Click ‘Allow’ to get updates from the app.,*चूकना मत!* ऐप से अपडेट प्राप्त करने के लिए 'Allow' पर क्लिक करें।,*ચૂકશો નહીં!* એપ્લિકેશનમાંથી અપડેટ્સ મેળવવા માટે 'Allow' પર ક્લિક કરો.,* चुकवू नका!* अ‍ॅपवरून अपडेट्स मिळवण्यासाठी 'अनुमती द्या' या बटणावर क्लिक करा.,*మిస్ అవ్వకండి!* యాప్ నుండి అప్‌డేట్‌లను పొందడానికి ‘అనుమతించు’పై క్లిక్ చేయండి.,
contactBusiness,Contact Business,बिज़नेस से संपर्क करें,વ્યવસાય સંપર્ક,व्यवसाय विभागाशी संपर्क करा.,వ్యాపారం కోసం సంప్రదించండి,
saved,Message Saved Successfully!,मैसेज सफलतापूर्वक सेव हुआ!,મેસેજ સફળતાપૂર્વક સેવ થયો!,मेसेज यशस्वीरीत्या जतन झालेला आहे.,మెసేజ్ విజయవంతంగా సేవ్ చేయబడింది!,
noConnection,No connection,कनेक्शन नहीं है,કનેક્શન ઉપલબ્ધ નથી,कनेक्शन नाही.,కనెక్షన్ లేదు,
backOnline,Back online,कनेक्शन वापस ऑनलाइन है,પાછા ઓનલાઈન થઈ ગયા છો,पुन्हा ऑनलाइन आहात.,తిరిగి ఆన్‌లైన్ వచ్చింది,
botUnavailable,Bot is not responding. Please check again later.,Bot जवाब नहीं दे रहा है। कृपया बाद में दोबारा चेक करें।,Bot તરફથી કોઈ પ્રતિસાદ મળી રહ્યો નથી. કૃપા કરીને પછી ફરીથી તપાસો.,Bot कडून काही उत्तर मिळत नाही. कृपया थोड्यावेळाने पुन्हा प्रयत्न करा.,Bot స్పందించడం లేదు. దయచేసి తర్వాత మళ్లీ చెక్ చేయండి.,
maxQuantityExceeded,Only {{max}} quantity is allowed,केवल {{max}} मात्रा की अनुमति है,ફક્ત {{max}} માત્રાને પરવાનગી મળેલ છે,फक्त {{max}} प्रमाणाची परवानगी आहे,{{max}} పరిమాణం మాత్రమే అనుమతించబడుతుంది,
sortBy,Sort by,क्रमबद्ध करें,આના દ્વારા ક્રમમાં ગોઠવો,क्रमवारी केलेले,అమర్చండి,
oldToNew,Old to New,पुराने से नया,જૂનાથી નવું,जुने ते नवीन,పాత నుండి కొత్త,
newToOld,New to Old,नये से पुराना,નવાથી જૂનૂ,नवीन ते जुने,కొత్త నుండి పాత,
popularity,Popularity,लोकप्रियता,લોકપ્રિયતા,लोकप्रियतेनुसार,ప్రజాదరణ,
rating,Ratings,रेटिंग्स,રેટિંગ્સ,रेटिंग्स,రేటింగ్‌లు,
exploreBots,Explore bots,Bots खोजें,Bots શોધો,Bots शोधा.,Bots ను అన్వేషించండి,
recommendedBots,Recommended bots,रेकमेंडेड bots,ભલામણ કરાયેલ Bots,शिफारस केलेले Bots,రికమండ్ చేయబడిన Bots,
all,All,सभी,તમામ,सर्व,అన్నీ,
ratingSubmit,Submit,सबमिट करें,સબમિટ કરો,सबमिट करा.,సబ్మిట్ చేయండి,
ratingSubmitted,Bot Rating submitted successfully.,Bot रेटिंग सफलतापूर्वक सबमिट हुई।,Bot રેટીંગ સફળતાપૂર્વક સબમિટ થઈ ગયુ છે.,Bot चे रेटिंग यशस्वीरित्या सबमिट झालेले आहे.,Bot రేటింగ్ విజయవంతంగా సమర్పించబడింది.,
notificationSettingsTitle,Notifications,सूचनाएँ,નોટિફિકેશન્સ,सूचना,నోటిఫికేషన్‌లు,
pushNotificationLabel,Push Notifications,Push सूचनाएँ,પુશ નોટિફિકેશન્સ,पुश सूचना,పుష్ నోటిఫికేషన్లు,
retry,Retry,दोबारा प्रयास करें,ફરીથી પ્રયાસ કરો,पुन्हा प्रयत्न करा.,మళ్లీ ప్రయత్నించండి,
nameValidationError,Name too short,नाम बहुत छोटा है,નામ ખૂબ ટૂંકુ છે,संक्षिप्त नाव आहे,పేరు చాలా చిన్నది,
reviewFailed,Review submission was not successfull,समीक्षा सबमिट करना असफल रहा,સમીક્ષા સબમિશન સફળ થયું ન હતું,पुनरावलोकनचे सबमिशन यशस्वी झालेले नाही,సమీక్ష సబ్మిషన్ విజయవంతం కాలేదు,
botDescription,Bot Description,Bot विवरण,Bot નું વર્ણન,Bot चे वर्णन,Bot వివరణ,
removeCustomizedProductTitle,Which item would you like to remove?,आप किस आइटम को हटाना चाहेंगे?,તમે કઈ વસ્તુ દૂર કરવા માંગો છો?,तुम्हाला कोणती सामग्री काढायची आहे?,మీరు ఏ అంశాన్ని తీసివేయాలనుకుంటున్నారు?,
placeOrder,Place Order,ऑर्डर प्लेस करें,ઓર્ડર પ્લેસ કરો,ऑर्डर करा.,ఆర్డర్ పెట్టండి,
botInfo,Bot Info,Bot जानकारी,બોટની માહિતી,Bot बद्दल माहिती,Bot సమాచారం,
support,Support,सपोर्ट,સપોર્ટ,सपोर्ट,సపోర్ట్,
unblock,Unblock,अनब्लॉक करें,અનબ્લોક,अनब्लॉक करा.,అన్‌బ్లాక్ చేయండి,
standaloneAlreadyLoggedIn,It seems you already have an active session on this device.,ऐसा लगता है इस डिवाइस पर पहले से ही आपका सेशन सक्रिय है,એવું લાગે છે કે તમારી પાસે આ ઉપકરણ પર પહેલેથી જ સક્રિય સેશન છે.,तुमच्याकडे या डिव्हाइसवर आधीपासूनच सक्रिय सत्र  सुरु असल्याचे दिसून येत आहे.,మీరు ఈ డివైస్ లో ఇప్పటికే యాక్టీవ్ సెషన్‌ని కలిగి ఉన్నట్లున్నారు.,
standaloneAcceptLogout,Start Fresh Session,नया सेशन शुरू करें,નવું સેશન શરૂ કરો,नवीन सत्र सुरु करा,కొత్త సెషన్‌ను ప్రారంభించండి,
standaloneDeclineLogout,Continue Previous Session,पिछला सेशन जारी रखें,પહેલાનું સેશન ચાલુ રાખો,मागील सत्र सुरु ठेवा,మునుపటి సెషన్‌ను కొనసాగించండి,
singleItemSelected,1 selected,1 चुना गया,1 પસંદ થયેલ છે,1  निवडलेले आहे,1 ఎంపిక చేయబడింది,
nItemsSelected,{{number}} selected,{{number}} चुने गये,{{number}} પસંદ થયેલ છે,{{number}} निवडला आहे,{{number}} ఎంచుకోబడింది,
findBots,Find Bots,Bots खोजें,બોટ્સ શોધો,Bots चा शोध घ्या,Botsను కనుగొనండి,
botsYouLike,Bots you might like,सुझाए गए bots,તમને કદાચ ગમે તેવા બોટ્સ,तुमच्या आवडीनुसार सुचविलेले Bots,మీరు ఇష్టపడే Bots,
botStore,Bot Store,Bot स्टोर,Bot સ્ટોર,Bot स्टोअर,Bot స్టోర్,
inviteFriends,Invite Friends,इन्वाइट करें,મિત્રોને આમંત્રિત કરો,मित्रांना आमंत्रण द्या,స్నేహితులను ఆహ్వానించండి,
unblockedBot,Unblocked Bot,अनब्लॉक्ड Bot,અનબ્લોક બોટ,ब्लॉक काढून टाकलेले Bot,అన్‌బ్లాక్ చేయబడిన Bot,
botFirstWelcomeMessage,Say Hi to start chatting with the bot,Bot के साथ चैट करने के लिए Hi! कहें,બોટ સાથે ચેટ કરવાનું શરૂ કરવા માટે Hi કહો,bot  बरोबर चॅट करण्यासाठी नमसकार असे लिहा,botతో చాట్ చేయడం ప్రారంభించడానికి Hi చెప్పండి,
newIcon,NEW,NEW,NEW,NEW,NEW,
timeOver,You have run out of time,आपका समय समाप्त हो गया है,તમારો સમય સમાપ્ત થઈ ગયો છે,वेळ संपत आलेली आहे.,మీకు సమయం అయిపోయింది,
languageTitleDesktop,Select your\n# Language,अपनी\n# भाषा चुनिए,તમારી\n# ભાષા પસંદ કરો,तुमची\n# भाषा निवडा,మీ\n# భాషను ఎంచుకోండి,
skip,Skip,स्किप करें,સ્કીપ કરો,सोडून द्या.,వదిలేయండి,
reviewExample,Here are a few examples:,यहाँ कुछ उदाहरण दिए गए हैं:,અહીં કેટલાંક ઉદાહરણો આપ્યાં છે:,येथे काही उदाहरणे दिलेली आहेत:,ఇక్కడ కొన్ని ఉదాహరణలు ఉన్నాయి:,
wasThisHelpful,Was this helpful?,क्या ये मददगार था?,શું આ મદદરૂપ હતું?,हे उपयुक्त होते का?,ఇది ఉపయోగపడిందా?,
messageRatingReview,e.g. The answer was clear and helpful. Thank you!,उदाहरण- उत्तर स्पष्ट और उचित था। धन्यवाद!,"દા.ત., જવાબ સ્પષ્ટ અને મદદરૂપ હતો. આભાર!",उदाहरणार्थ- उत्तर स्पष्ट आणि उपयुक्त होते. धन्यवाद!,ఉదా: సమాధానం స్పష్టంగా మరియు ఉపయోగకరంగా ఉంది. ధన్యవాదాలు!,
notHelpful,Not Helpful,मददगार नहीं है,બિલકુલ મદદરૂપ ન હતું,उपयुक्त नाही.,ఉపయోగకరంగా లేదు,
veryHelpful,Very Helpful,बहुत मददगार है,ખૂબ મદદરૂપ હતું,अत्यंत उपयुक्त,చాలా ఉపయోగకరం,
howHelpful,How helpful was this?,यह कितना मददगार था?,આ કેટલું મદદરૂપ હતું?,हे किती उपयुक्त होते?,ఇది ఎంతవరకు ఉపయోగపడింది?,
imageGallery,Image Gallery,चित्र गैलरी,1 ફોટો/ x ફોટાઓ,1 फोटो/ x फोटो,1 ఫోటో/ x ఫోటోలు,
videoGallery,Video Gallery,वीडियो गैलरी,ડાઉનલોડ કરવા માટે ટેપ કરો,डाऊनलोड करण्यासाठी बटण दाबा,డౌన్‌లోడ్ చేయడానికి ట్యాప్ చేయండి,
guidelineExample1,“I am Disha Bhagwat Rai.”,“मैं दिशा भागवत राय हूँ।”,"""હું દિશા ભાગવત રાય છું.""",“माझे नाव दिशा भागवत राय आहे”,"""నేను దిశా భగవత్ రాయ్.""",
guidelineExample2,“Akjvsdcjsdv”,“Akjvsdcjsdv”,“Akjvsdcjsdv”,“Akjvsdcjsdv”,“Akjvsdcjsdv”,
guidelineExample3,“I am better at math because of this bot.”,“मैं इस बॉट की वजह से गणित में बेहतर हूँ।”,"""આ બોટને કારણે હું ગણિતમાં વધુ સારી છું.""","""या bot च्या मदतीने माझा गणित विषय चांगला झाला आहे""",ఈ bot కారణంగా నేను గణితంలో మెరుగ్గా ఉన్నాను.,
guidelineExample4,“Please add more content. I'm now getting repeated questions.”,“कृपया अधिक कंटेंट जोड़ें। मुझे वही प्रश्न बार-बार मिल रहे हैं।”,"""કૃપા કરીને વધુ સામગ્રી ઉમેરો. હવે મને વારંવાર પ્રશ્નો પૂછવામાં આવે છે.""","""कृपया अधिक सामग्री जोडा. मला आता वारंवार सारखेच प्रश्न विचारले जात आहेत.”",“దయచేసి మరింత విషయాన్ని జోడించండి. నాకు ఇప్పుడు పదే పదే అవే ప్రశ్నలు వస్తున్నాయి.,
helpful,HELPFUL,मददगार है,મદદરૂપ,उपयुक्त आहे.,ఉపయోగకరంగా ఉంది,
homeTourStart,let’s go,शुरू करें,શરૂ કરો,सुरु करा.,ప్రారంభిద్దాం,
homeTourTitle,Hi there!,हैलो!,હેલો!,नमस्कार!,హాయ్!,
homeTourSubtitle,Join us for a quick app tour to see the main features.,मुख्य विशेषताओं को देखने के लिए जल्दी से एक ऐप टूर लें।,મુખ્ય સુવિધાઓ જોવા માટે ઝડપી એપ્લિકેશન ટુર માટે અમારી સાથે જોડાઓ.,मुख्य वैशिष्‍ट्ये पाहण्‍यासाठी आमच्याबरोबर झटपट अ‍ॅप टूरमध्ये सहभागी व्हा.,ప్రధాన ఫీచర్లను చూడటానికి త్వరిత యాప్ టూర్ కోసం మాతో చేరండి.,
homeTourSkip,skip,स्किप करें,સ્કીપ કરો,सोडून द्या.,వదిలేయండి,
homeTourStep1,"Change settings, play games, or log out of the app.","सेटिंग्स बदलें, गेम्स खेलें, या ऐप से लॉग आउट करें।","એપના સેટિંગ્સ બદલો, ગેમ રમો અથવા લૉગ આઉટ કરો.","सेटिंग्ज बदला, खेळ खेळा किंवा अ‍ॅपमधून लॉग आउट करा.","సెట్టింగ్‌లను మార్చండి, గేమ్‌లు ఆడండి లేదా యాప్ నుండి లాగ్ అవుట్ చేయండి.",
homeTourStep2,Scan the QR code of a chatbot to join the bot.,बॉट से जुड़ने के लिए चैटबॉट के QR कोड को स्कैन करें।,Bot માં જોડાવા માટે ચેટબોટના QR કોડને સ્કેન કરો.,bot मध्ये सहभागी होण्यासाठी चॅटबॉटचा QR कोड स्कॅन करा.,bot లో చేరడానికి చాట్‌బాట్ యొక్క QR కోడ్‌ని స్కాన్ చేయండి.,
homeTourStep3,Use the additional features and support.,अतिरिक्त सुविधाओं और सहयोग का उपयोग करें।,વધારાની સુવિધાઓ અને સપોર્ટનો ઉપયોગ કરો.,अतिरिक्त वैशिष्ट्ये आणि समर्थनाचा वापर करा.,అదనపు ఫీచర్లు మరియు సపోర్ట్ ను ఉపయోగించండి.,
